Date,Currency,Duration,con_Bid,con_Ask
24/10/2016,RON,30,0.23,0.58
21/10/2016,RON,30,0.21,0.56
20/10/2016,RON,30,0.21,0.56
19/10/2016,RON,30,0.21,0.56
18/10/2016,RON,30,0.21,0.56
17/10/2016,RON,30,0.21,0.56
14/10/2016,RON,30,0.21,0.56
13/10/2016,RON,30,0.21,0.56
12/10/2016,RON,30,0.21,0.56
11/10/2016,RON,30,0.21,0.56
10/10/2016,RON,30,0.2,0.55
7/10/2016,RON,30,0.19,0.54
6/10/2016,RON,30,0.19,0.54
5/10/2016,RON,30,0.18,0.53
4/10/2016,RON,30,0.19,0.54
3/10/2016,RON,30,0.19,0.54
30/09/2016,RON,30,0.19,0.54
29/09/2016,RON,30,0.19,0.54
28/09/2016,RON,30,0.19,0.54
27/09/2016,RON,30,0.2,0.55
26/09/2016,RON,30,0.2,0.55
23/09/2016,RON,30,0.2,0.55
22/09/2016,RON,30,0.2,0.55
21/09/2016,RON,30,0.2,0.55
20/09/2016,RON,30,0.19,0.54
19/09/2016,RON,30,0.19,0.54
16/09/2016,RON,30,0.19,0.54
15/09/2016,RON,30,0.19,0.54
14/09/2016,RON,30,0.19,0.54
13/09/2016,RON,30,0.19,0.54
12/9/2016,RON,30,0.19,0.54
9/9/2016,RON,30,0.19,0.54
8/9/2016,RON,30,0.19,0.55
7/9/2016,RON,30,0.19,0.56
6/9/2016,RON,30,0.19,0.56
5/9/2016,RON,30,0.19,0.56
2/9/2016,RON,30,0.19,0.56
1/9/2016,RON,30,0.19,0.57
31/08/2016,RON,30,0.2,0.58
30/08/2016,RON,30,0.22,0.6
29/08/2016,RON,30,0.22,0.6
26/08/2016,RON,30,0.22,0.6
25/08/2016,RON,30,0.23,0.61
24/08/2016,RON,30,0.22,0.6
23/08/2016,RON,30,0.2,0.58
22/08/2016,RON,30,0.19,0.57
19/08/2016,RON,30,0.19,0.57
18/08/2016,RON,30,0.19,0.57
17/08/2016,RON,30,0.2,0.58
16/08/2016,RON,30,0.21,0.59
12/8/2016,RON,30,0.2,0.58
11/8/2016,RON,30,0.2,0.58
10/8/2016,RON,30,0.2,0.58
9/8/2016,RON,30,0.2,0.58
8/8/2016,RON,30,0.2,0.6
5/8/2016,RON,30,0.2,0.6
4/8/2016,RON,30,0.2,0.6
3/8/2016,RON,30,0.2,0.6
2/8/2016,RON,30,0.22,0.62
1/8/2016,RON,30,0.22,0.62
29/07/2016,RON,30,0.22,0.62
28/07/2016,RON,30,0.22,0.62
